,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Lname,NamePrefix
380,381,1,1,0,0,0,0,3,7,75,16
381,382,1,3,0,1,0,2,2,7,555,16
382,383,0,3,1,7,0,0,0,7,792,19
383,384,1,1,0,7,1,0,3,7,349,20
384,385,0,3,1,6,0,0,0,7,645,19
385,386,0,2,1,5,0,0,3,7,195,19
386,387,0,3,1,1,5,2,3,7,292,13
387,388,1,2,0,0,0,0,1,7,110,16
388,389,0,3,1,6,0,0,0,7,697,19
389,390,1,2,0,5,0,0,1,7,435,16
390,391,1,1,1,0,1,2,3,1,131,19
391,392,1,3,1,4,0,0,0,7,370,19
392,393,0,3,1,7,2,0,0,7,301,19
393,394,1,1,0,4,1,0,3,3,565,16
394,395,1,3,0,4,0,2,2,6,707,20
395,396,0,3,1,4,0,0,0,7,381,19
396,397,0,3,0,7,0,0,0,7,595,16
397,398,0,2,1,0,0,0,2,7,510,19
398,399,0,2,1,4,0,0,1,7,606,7
399,400,1,2,0,7,0,0,1,7,803,20
400,401,1,3,1,0,0,0,0,7,574,19
401,402,0,3,1,7,0,0,1,7,7,19
402,403,0,3,0,4,1,0,1,7,388,16
403,404,0,3,1,7,1,0,2,7,305,19
404,405,0,3,0,4,0,0,1,7,598,16
405,406,0,2,1,7,1,0,2,7,269,19
406,407,0,3,1,0,0,0,0,7,839,19
407,408,1,2,1,1,1,1,2,7,666,13
408,409,0,3,1,4,0,0,0,7,78,19
409,410,0,3,0,6,3,1,2,7,434,16
410,411,0,3,1,6,0,0,0,7,714,19
411,412,0,3,1,6,0,0,0,7,319,19
412,413,1,1,0,7,1,0,3,2,525,16
413,414,0,2,1,6,0,0,4,7,183,19
414,415,1,3,1,0,0,0,0,7,776,19
415,416,0,3,0,6,0,0,1,7,515,20
416,417,1,2,0,7,1,1,3,7,222,20
417,418,1,2,0,5,0,2,1,7,726,16
418,419,0,2,1,7,0,0,1,7,496,19
419,420,0,3,0,2,0,2,2,7,811,9
420,421,0,3,1,6,0,0,0,7,277,19
421,422,0,3,1,4,0,0,0,7,140,19
422,423,0,3,1,7,0,0,0,7,864,19
423,424,0,3,0,7,1,1,1,7,189,20
424,425,0,3,1,5,1,1,2,7,681,19
425,426,0,3,1,6,0,0,0,7,852,19
426,427,1,2,0,7,1,0,2,7,151,20
427,428,1,2,0,4,0,0,2,7,642,16
428,429,0,3,1,6,0,0,0,7,252,19
429,430,1,3,1,7,0,0,1,4,643,19
430,431,1,1,1,7,0,0,2,2,83,19
431,432,1,3,0,6,1,0,2,7,791,20
432,433,1,2,0,0,1,0,2,7,464,20
433,434,0,3,1,5,0,0,0,7,389,19
434,435,0,1,1,0,1,0,3,4,728,19
435,436,1,1,0,5,1,2,3,1,131,16
436,437,0,3,0,4,2,2,3,7,255,16
437,438,1,2,0,4,2,3,2,7,666,20
438,439,0,1,1,3,1,4,3,2,257,19
439,440,0,2,1,7,0,0,1,7,418,19
440,441,1,2,0,0,1,1,2,7,319,20
441,442,0,3,1,4,0,0,1,7,308,19
442,443,0,3,1,4,1,0,0,7,639,19
443,444,1,2,0,7,0,0,1,7,661,21
444,445,1,3,1,6,0,0,1,7,378,19
445,446,1,1,1,1,0,2,3,0,211,13
446,447,1,2,0,5,0,1,2,7,516,16
447,448,1,1,1,7,0,0,2,7,717,19
448,449,1,3,0,1,2,1,2,7,44,16
449,450,1,1,1,0,0,0,2,2,641,12
450,451,0,2,1,0,1,2,2,7,833,19
451,452,0,3,1,6,1,0,2,7,304,19
452,453,0,1,1,7,0,0,2,2,256,19
453,454,1,1,1,0,1,0,3,2,288,19
454,455,0,3,1,6,0,0,1,7,624,19
455,456,1,3,1,7,0,0,0,7,369,19
456,457,0,1,1,3,0,0,2,4,523,19
457,458,1,1,0,6,1,0,3,3,404,20
458,459,1,2,0,0,0,0,1,7,796,16
459,460,0,3,1,6,0,0,0,7,584,19
460,461,1,1,1,0,0,0,2,4,20,19
461,462,0,3,1,7,0,0,1,7,540,19
462,463,0,1,1,0,0,0,3,4,275,19
463,464,0,2,1,0,0,0,1,7,524,19
464,465,0,3,1,6,0,0,1,7,481,19
465,466,0,3,1,0,0,0,0,7,291,19
466,467,0,2,1,6,0,0,4,7,121,19
467,468,0,1,1,0,0,0,2,7,745,19
468,469,0,3,1,6,0,0,0,7,711,19
469,470,1,3,0,1,2,1,2,7,44,16
470,471,0,3,1,6,0,0,0,7,399,19
471,472,0,3,1,0,0,0,1,7,115,19
472,473,1,2,0,7,1,2,2,7,833,20
473,474,1,2,0,4,0,0,1,3,377,20
474,475,0,3,0,4,0,0,1,7,770,16
475,476,0,1,1,6,0,0,3,0,153,19
476,477,0,2,1,7,1,0,2,7,659,19
477,478,0,3,1,7,1,0,0,7,100,19
478,479,0,3,1,4,0,0,0,7,393,19
479,480,1,3,0,1,0,1,1,7,342,16
480,481,0,3,1,2,5,2,3,7,292,13
481,482,0,2,1,6,0,0,4,7,264,19
482,483,0,3,1,0,0,0,1,7,688,19
483,484,1,3,0,3,0,0,1,7,808,20
484,485,1,1,1,4,1,0,3,1,80,19
485,486,0,3,0,6,3,1,2,7,434,16
486,487,1,1,0,7,1,0,3,2,356,20
487,488,0,1,1,0,0,0,2,1,403,19
488,489,0,3,1,7,0,0,1,7,752,19
489,490,1,3,1,2,1,1,2,7,175,13
490,491,0,3,1,6,1,0,2,7,304,19
491,492,0,3,1,4,0,0,0,7,850,19
492,493,0,1,1,0,0,0,2,2,534,19
493,494,0,1,1,3,0,0,3,7,30,19
494,495,0,3,1,4,0,0,1,7,760,19
495,496,0,3,1,6,0,0,1,7,860,19
496,497,1,1,0,0,1,0,3,3,240,16
497,498,0,3,1,6,0,0,2,7,721,19
498,499,0,1,0,4,1,2,3,2,16,20
499,500,0,3,1,4,0,0,0,7,779,19
500,501,0,3,1,5,0,0,1,7,119,19
501,502,0,3,0,4,0,0,0,7,122,16
502,503,0,3,0,6,0,0,0,7,590,16
503,504,0,3,0,0,0,0,1,7,421,16
504,505,1,1,0,5,0,0,3,1,480,16
505,506,0,1,1,5,1,0,3,2,627,33
506,507,1,2,0,7,0,2,2,7,652,20
507,508,1,1,1,6,0,0,2,7,96,19
508,509,0,3,1,7,0,0,2,7,594,19
509,510,1,3,1,7,0,0,3,7,427,19
510,511,1,3,1,7,0,0,0,7,188,19
511,512,0,3,1,6,0,0,1,7,828,19
512,513,1,1,1,0,0,0,2,4,507,19
513,514,1,1,0,0,1,0,3,7,687,20
514,515,0,3,1,4,0,0,0,7,157,19
515,516,0,1,1,0,0,0,3,3,822,19
516,517,1,2,0,7,0,0,1,5,439,20
517,518,0,3,1,6,0,0,2,7,692,19
518,519,1,2,0,0,1,0,2,7,26,20
519,520,0,3,1,7,0,0,0,7,618,19
520,521,1,1,0,7,0,0,3,1,631,16
521,522,0,3,1,4,0,0,0,7,819,19
522,523,0,3,1,6,0,0,0,7,419,19
523,524,1,1,0,0,0,1,3,1,341,20
524,525,0,3,1,6,0,0,0,7,396,19
525,526,0,3,1,0,0,0,0,7,244,19
526,527,1,2,0,0,0,0,1,7,667,16
527,528,0,1,1,6,0,0,3,2,245,19
528,529,0,3,1,0,0,0,0,7,705,19
529,530,0,2,1,4,2,1,1,7,343,19
530,531,1,2,0,1,1,1,2,7,652,16
531,532,0,3,1,6,0,0,0,7,800,19
532,533,0,3,1,5,1,1,0,7,234,19
533,534,1,3,0,6,0,2,2,7,634,20
534,535,0,3,0,7,0,0,1,7,115,16
535,536,1,2,0,2,0,2,2,7,319,16
536,537,0,1,1,0,0,0,2,1,112,12
537,538,1,1,0,7,0,0,3,7,431,16
538,539,0,3,1,6,0,0,1,7,672,19
539,540,1,1,0,4,0,2,3,1,262,16
540,541,1,1,0,0,0,2,3,1,180,16
541,542,0,3,0,2,4,2,3,7,21,16
542,543,0,3,0,2,4,2,3,7,21,16
543,544,1,2,1,7,1,0,2,7,62,19
544,545,0,1,1,0,1,0,3,2,216,19
545,546,0,1,1,3,0,0,2,7,568,19
546,547,1,2,0,4,1,0,2,7,62,20
547,548,1,2,1,6,0,0,1,7,605,33
548,549,0,3,1,7,1,1,2,7,290,19
549,550,1,2,1,2,1,1,3,7,195,13
550,551,1,1,1,5,0,2,3,2,786,19
551,552,0,2,1,7,0,0,2,7,718,19
552,553,0,3,1,6,0,0,0,7,582,19
553,554,1,3,1,4,0,0,0,7,433,19
554,555,1,3,0,4,0,0,0,7,592,16
555,556,0,1,1,3,0,0,2,7,855,19
556,557,1,1,0,0,1,0,3,0,224,8
557,558,0,1,1,6,0,0,3,7,673,19
558,559,1,1,0,0,1,1,3,4,783,20
559,560,1,3,0,0,1,0,2,7,865,15
560,561,0,3,1,6,0,0,0,7,541,19
561,562,0,3,1,0,0,0,0,7,735,19
562,563,0,2,1,7,0,0,1,7,575,19
563,564,0,3,1,6,0,0,1,7,729,19
564,565,0,3,0,6,0,0,1,7,514,16
565,566,0,3,1,4,2,0,2,7,195,19
566,567,0,3,1,4,0,0,0,7,769,19
567,568,0,3,0,7,0,4,2,7,608,20
568,569,0,3,1,6,0,0,0,7,212,19
569,570,1,3,1,7,0,0,0,7,386,19
570,571,1,2,1,3,0,0,1,7,317,19
571,572,1,1,0,0,2,0,3,2,27,20
572,573,1,1,1,0,0,0,2,4,252,19
573,574,1,3,0,6,0,0,0,7,401,16
574,575,0,3,1,5,0,0,1,7,691,19
575,576,0,3,1,4,0,0,1,7,616,19
576,577,1,2,0,7,0,0,1,7,272,16
577,578,1,1,0,0,1,0,3,4,728,20
578,579,0,3,0,6,1,0,1,7,125,20
